pmid,journal,title,authors,abstract,link,publication_date_raw,publication_date,publication_year,publication_month
40658980,Anesthesia and analgesia,Fibrinogen Concentrate for Neonatal Cardiac Surgery.,,,https://pubmed.ncbi.nlm.nih.gov/40658980/,2025 Aug 1,2025-08-01,2025,2025-08
40658979,Anesthesia and analgesia,Office-Based Anesthesia: Standards and Guidelines.,,,https://pubmed.ncbi.nlm.nih.gov/40658979/,2025 Aug 1,2025-08-01,2025,2025-08
40626803,Anesthesiology,Aberrant Intracellular Calcium Homeostasis Disrupts Insulin-stimulated Glucose Uptake in Muscle Cells from Patients with Malignant Hyperthermia Susceptibility.,Uryash A; Razzaq I; Moreno CAI; Adams JA; Allen PD; Riazi S; Lopez JR,,https://pubmed.ncbi.nlm.nih.gov/40626803/,2025 Aug 1,2025-08-01,2025,2025-08
40626802,Anesthesiology,Automated Volatile Anesthetics Delivery with End-tidal Control: Early Results from Adoption at Missouri University Hospital.,Mraovic B; Cardonell B; Johnson Q; Luchetti M; Beard JW,,https://pubmed.ncbi.nlm.nih.gov/40626802/,2025 Aug 1,2025-08-01,2025,2025-08
40626759,Anesthesiology,In My Time of Dying: How I Came Face-to-Face with the Idea of an Afterlife.,McGoldrick KE,,https://pubmed.ncbi.nlm.nih.gov/40626759/,2025 Aug 1,2025-08-01,2025,2025-08
40626758,Anesthesiology,Serratus Anterior Plane Block for Lung Resection: Reply.,Jackson JC; Tan KS; Amar D,,https://pubmed.ncbi.nlm.nih.gov/40626758/,2025 Aug 1,2025-08-01,2025,2025-08
40626757,Anesthesiology,Serratus Anterior Plane Block for Lung Resection: Comment.,Fu P,,https://pubmed.ncbi.nlm.nih.gov/40626757/,2025 Aug 1,2025-08-01,2025,2025-08
40626756,Anesthesiology,Serratus Anterior Plane Block for Lung Resection: Comment.,Wang K; Zhang Y; Zhang Z; Wu Y; Wang X; Chen X; Chen J; Zhao L; Liu S,,https://pubmed.ncbi.nlm.nih.gov/40626756/,2025 Aug 1,2025-08-01,2025,2025-08
40626755,Anesthesiology,Serratus Anterior Plane Block for Lung Resection: Comment.,Zhu Y; Wang F; Zhu H; Zhu T,,https://pubmed.ncbi.nlm.nih.gov/40626755/,2025 Aug 1,2025-08-01,2025,2025-08
40626754,Anesthesiology,Serratus Anterior Plane Block for Lung Resection: Comment.,Sethuraman RM,,https://pubmed.ncbi.nlm.nih.gov/40626754/,2025 Aug 1,2025-08-01,2025,2025-08
